"css-w5uu0r href","css-t5nx4t src","css-hc6pk4 src","css-hc6pk4 src 2","css-hc6pk4 src 3","css-0","css-1kjr4iz","css-wesefx","css-xsih6f","css-1mhg5ff","css-1rek4h3","css-9u48bm","css-9u48bm 2","css-9u48bm 3","css-9u48bm 5","css-9u48bm 6","css-9u48bm 7","css-oaskuq","css-oorffy","css-1tafjuz","css-woe2j4"
"https://www.seloger.com/annonces/achat/appartement/toulon-83/261934183.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DPOCOFR5333%26page%3D6&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L","https://mms.seloger.com/7/0/0/e/700ea1f7-27f0-4fce-9220-35066dbce590.jpg?ci_seal=724826e5717b7a67ec73e5fd31e7813164e7b8a6&h=50","https://mms.seloger.com/a/e/3/3/ae33015b-f919-499c-b219-40f77e064392.jpg?ci_seal=ebd70fb48129455e7a3b5d0b7b288c0b096558c7&w=525&h=394","https://mms.seloger.com/1/a/8/2/1a82a7b4-7ad2-4c67-b0af-3af3ed0ef244.jpg?ci_seal=edbcbdcb42187ad628c2c81d26ff21a12f5a1ba2&w=525&h=394","https://mms.seloger.com/a/b/7/4/ab74a967-34b7-4da9-afe0-e8d5bd04a516.jpg?ci_seal=cdda9ff7c7ecd5a9ec1463e744934999625ef39e&w=525&h=394","1 / 10","C","168 000 €","2 823 €/m²","Découvrez les options de financement","Appartement à vendre","3 pièces","·","2 chambres","59,5 m²","·","Étage 2/4","Toulon (83200)","A saisir bel appartement exposé plein Sud situé dans secteur très demandé de Toulon Ouest à proximité des transports, commerces, santé, école,.. Résidence fermée avec parking collectif. L'appartement...","GRAZI IMMOBILIER","Exclusivité"
"https://www.seloger.com/annonces/achat/appartement/toulon-83/place-d-armes/260993095.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DPOCOFR5333%26page%3D6&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L","https://mms.seloger.com/1/8/f/6/18f6af91-e49c-4631-a3fd-9c1cced7c8a4.jpg?ci_seal=dc9f664fb00dd852df3bf8e65bb3c7ad597e2192&h=50","https://mms.seloger.com/5/d/2/8/5d280257-bee3-4640-a498-26183b094afa.jpg?ci_seal=63be4f2d24be135c1fb4f959ea7ece26e0c6360c&w=525&h=394","https://mms.seloger.com/b/f/d/d/bfdd8c6a-cb66-4f7f-ab22-0cad76c64c53.jpg?ci_seal=77793f8fca1a0aeb72d8d672c70ca06436ab693d&w=525&h=394","https://mms.seloger.com/e/d/e/0/ede07c61-b8cd-4054-ac45-1185a643030b.jpg?ci_seal=e74a03bb7179ce46cd67f12539d3c4f63fb63bfd&w=525&h=394","1 / 9","C","550 000 €","3 618 €/m²","Découvrez les options de financement","Appartement à vendre","4 pièces","·","3 chambres","152 m²","·","Étage 2/4","Place d'Armes, Toulon (83000)","Vincent DE LA IGLESIA Propriétés-Privées vous invite à découvrir ce somptueux appartement de 152 m² entièrement rénové dans le pur style Haussmannien au deuxième étage avec ascenseur d'un immeuble Ha...","Proprietes privees.com   Vincent de LA IGLESIA",""
"https://www.seloger.com/annonces/achat/appartement/toulon-83/saint-roch/262396225.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DPOCOFR5333%26page%3D6&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L","https://mms.seloger.com/5/a/7/3/5a73532f-10a8-48c0-af90-e92ddbb1adc6.jpg?ci_seal=81528c3ad9dc06160c05c6aa0928046729ae5190&h=50","https://mms.seloger.com/c/d/5/4/cd5442bc-dbaa-4416-a44f-7c8788e20544.jpg?ci_seal=d3fb8d96923defee739e9d274f66c24e2fde2cb3&w=525&h=394","https://mms.seloger.com/e/7/4/8/e748c2ef-3562-460d-a5fd-8b93ee7125f1.jpg?ci_seal=4dfb0d12fccd6a5563e0afa75792d87a6b742714&w=525&h=394","https://mms.seloger.com/3/4/5/e/345ee3dc-3a75-4ddd-b985-c1f8e3e7b943.jpg?ci_seal=c2a36e35376971311b0848a40d13ee2c4994e475&w=525&h=394","1 / 7","C","199 000 €","2 970 €/m²","Découvrez les options de financement","Appartement à vendre","3 pièces","·","2 chambres","67 m²","·","Étage 3/4","Saint Roch, Toulon (83200)","TOULON St Roch : Dans petit immeuble bien tenu avec ascenseur, proche toutes commodités et gare, appartement de Type 3 de 67 m² traversant donnant sur 2 balcons, avec cave et possibilité de garage. C...","Guston Immobilier",""
"https://www.seloger.com/annonces/achat/maison/toulon-83/notre-dame-des-routes/259430841.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DPOCOFR5333%26page%3D6&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L","https://mms.seloger.com/2/6/9/5/2695541e-995d-4d02-b016-c9d6a64c864c.jpg?ci_seal=4fbaa705db9b23bef2564d0f640847984a818e05&h=50","https://mms.seloger.com/9/1/f/4/91f41a0e-196f-4596-be2c-483d5ee0f3d9.jpg?ci_seal=4add0e142a37c9d9547974ceef0d5bc4fa67a328&w=525&h=394","https://mms.seloger.com/4/a/4/5/4a451ebb-047d-4075-a2ed-eb17157fef84.jpg?ci_seal=b8dbeb25e5279e40587d151c55850b325e5a1412&w=525&h=394","https://mms.seloger.com/f/0/3/b/f03bb1ac-e7f8-43e3-80c2-67a853bd090d.jpg?ci_seal=f5467b0c17a7d9c09e703841e6cb6ba94d798edb&w=525&h=394","1 / 10","C","549 000 €","6 033 €/m²","Découvrez les options de financement","Maison à vendre","4 pièces","·","3 chambres","91 m²","·","556 m² de terrain","Notre Dame des Routes, Toulon (83200)","4 chemins des routes - Située en fond d'impasse, dans un environnement calme et recherché, cette maison traditionnelle construite en 1993 offre un cadre de vie agréable, alliant tranquillité, confort...","SAFTI   DUVAL Romain  conseiller indépendant","Exclusivité"
"","","","","","","","","","","","","","","","","","","","",""
"https://www.seloger.com/annonces/achat/maison/toulon-83/cap-brun/252802381.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DPOCOFR5333%26page%3D6&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L","https://mms.seloger.com/c/9/7/f/c97fc1f3-ef25-4662-895e-a86992742b29.jpg?ci_seal=8339336e442308271d3bb8712e31b622fa79c590&h=50","https://mms.seloger.com/6/6/c/5/66c52916-8eed-4ba6-a694-30a0e2ac193f.jpg?ci_seal=0d08d89bbe8733dd556ec62e3077464e34ef6263&w=525&h=394","https://mms.seloger.com/a/4/2/0/a4206d69-f8a1-4e3d-a097-c6170acd4917.jpg?ci_seal=35d55f1f443b4e506827579cca6fef4dd387293f&w=525&h=394","https://mms.seloger.com/c/2/2/b/c22b157a-a17c-422a-bdc1-37e8319cf89c.jpg?ci_seal=253b839ed9467ee810982250960741d938139d22&w=525&h=394","1 / 11","D","960 000 €","5 161 €/m²","Découvrez les options de financement","Maison à vendre","6 pièces","·","5 chambres","186 m²","","","Cap Brun , Toulon (83000)","iad France - Sarah Durand vous propose: Toulon Cap Brun – Maison familiale au cOEur du calme et de la verdure Dans un environnement recherché, à deux pas des plages de Méjean, des écoles et des comme...","iad France  Sarah Durand",""
"https://www.seloger.com/annonces/achat/appartement/toulon-83/le-faron-fort-rouge/262041263.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DPOCOFR5333%26page%3D6&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL","https://mms.seloger.com/1/2/6/4/12643f72-65c3-4e8a-a296-2b7415a7f12b.jpg?ci_seal=6436531dceb72783113374c7e8b5e081a96974e2&h=50","https://mms.seloger.com/e/e/4/e/ee4e3b79-2291-491e-819a-f45016e8eb36.jpg?ci_seal=0b2a123f0ec685911da65f95e6497e61f16ba091&w=626&h=470","https://mms.seloger.com/e/c/d/0/ecd05549-60b1-4c74-b292-23817ada5f93.jpg?ci_seal=fba76df948b17ddceed99e9c3c63fa32c35935a9&w=626&h=470","https://mms.seloger.com/0/a/c/7/0ac70180-753a-43fb-9fc8-323bb92a8fc8.jpg?ci_seal=0ef3af4311d393912857be982c6ba503700e7978&w=626&h=470","1 / 6","D","285 000 €","2 524 €/m²","","Appartement à vendre","6 pièces","·","4 chambres","112,9 m²","·","Étage 1/3","Le Faron-Fort-Rouge, Toulon (83100)","« Rare sur le secteur : spacieux F5 lumineux avec grand balcon plein sud + studio indépendant et grand garage ! » Situé au 1er étage d'une résidence calme, sécurisée et très bien entretenue, découvre...","ROYAL IMMO - TOULON","Exclusivité"
"https://www.seloger.com/annonces/achat/appartement/toulon-83/champ-de-mars/251314445.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DPOCOFR5333%26page%3D6&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L","https://mms.seloger.com/c/9/7/f/c97fc1f3-ef25-4662-895e-a86992742b29.jpg?ci_seal=8339336e442308271d3bb8712e31b622fa79c590&h=50","https://mms.seloger.com/d/f/5/f/df5f90fc-8dc6-4a9d-9b54-bf5d6617e91b.jpg?ci_seal=3f9155710ad10cc5ad8ecc0eb87f0ed15c346ca0&w=525&h=394","https://mms.seloger.com/9/e/e/0/9ee06622-126d-4aa3-a027-14a3b85efe11.jpg?ci_seal=145cf943d0e8e91d8759c32cb02954d99661054f&w=525&h=394","https://mms.seloger.com/3/3/7/f/337fc952-a448-48c7-ae54-7d10f572cea4.jpg?ci_seal=58a4969bcced0e38e3aa535b2e25387e7f291f40&w=525&h=394","1 / 8","B","250 000 €","2 525 €/m²","Investissez dans l'immobilier","Appartement à vendre","4 pièces","·","3 chambres","99 m²","·","RDC","Champ de Mars, Toulon (83100)","iad France - Gaultier Busserolle vous propose : CHAMPS DE MARS II - FRAÎCHEMENT RÉNOVÉ - GARAGE Grand appartement de type 5 traversant d'environs 99m2 environ situé au 4 eme étage avec ascenseur comp...","iad France  Gaultier Busserolle",""
"https://www.seloger.com/annonces/achat/appartement/toulon-83/250718371.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DPOCOFR5333%26page%3D6&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L","https://mms.seloger.com/3/d/2/8/3d28ad76-2b02-4c2a-be99-ac9e8af001de.jpg?ci_seal=98cf3fde82a8f517c0c315f1c540200ef7230778&h=50","https://mms.seloger.com/d/7/a/a/d7aa3a5d-2f95-40ad-b717-0d9c6197dac2.jpg?ci_seal=789d9fb8863abdd2d6c00d481e5c0acff3d5389c&w=525&h=394","https://mms.seloger.com/7/8/4/c/784cfd82-7251-49fe-8228-d81a116b6f8c.jpg?ci_seal=481384fd3c88a3327dccdb1950ac9fec9d90e1c6&w=525&h=394","https://mms.seloger.com/9/8/0/9/98097626-2776-4f6b-9a0c-688da4518ebd.jpg?ci_seal=e0c0976576243e3c59e11747e287f661374312dc&w=525&h=394","1 / 8","C","160 000 €","1 856 €/m²","Investissez dans l'immobilier","Appartement à vendre","3 pièces","·","1 chambre","86,2 m²","·","RDC","Toulon (83000)","Immobilier.notaires® et l'office notarial MAROCCO et associée vous proposent : Appartement à vendre - TOULON (83000) - - - - - - - - - - - TOULON - AIGUILLON - PROCHE STADE JEAN ALEX FERNANDEZ - En c...","Me MAROCCO & Me DINH-GIA - NOTAIRES",""
"https://www.seloger.com/annonces/achat/maison/toulon-83/259104503.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DPOCOFR5333%26page%3D6&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L","","https://mms.seloger.com/9/4/d/1/94d1d9df-6b75-47d9-9ffe-a162b345f398.jpg?ci_seal=3ba019e9dba88f6dde1d47a1f9cea473f515b6ce&w=525&h=394","https://mms.seloger.com/7/8/5/0/7850ecf7-7d76-4b9f-a1e6-ae90350512af.jpg?ci_seal=6b05c8fbe214456a81e4e4833a099384bf103610&w=525&h=394","https://mms.seloger.com/7/7/6/f/776f9bcb-4228-46a1-83aa-ccf33c49e1f6.jpg?ci_seal=4d0a652ffe3d3be67f2aa2cd5f91f628491fa5ed&w=525&h=394","1 / 11","D","380 000 €","5 278 €/m²","Découvrez les options de financement","Maison à vendre","5 pièces","·","2 chambres","72 m²","·","54 m² de terrain","Toulon (83000)","Toulon Cap-Brun, découvrez cet appartement /maison de ville atypique située dans une résidence des années 80, au cœur d'un secteur très recherché et au calme. Ce bien de 72 m² Carrez (130 m² habitabl...","CAPIMMO",""
"https://www.seloger.com/annonces/achat/appartement/toulon-83/248402863.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DPOCOFR5333%26page%3D6&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L","","https://mms.seloger.com/a/1/4/0/a1403878-ba66-4e7e-bfed-7e1e8adbf95a.jpg?ci_seal=390882edea274344d0786414cd1879a22a69f1a4&w=525&h=394","https://mms.seloger.com/f/1/0/8/f1084fb9-4954-4687-a074-e51177ed3593.jpg?ci_seal=e197f67de6aea34a61384a10dbf98e945d8595b3&w=525&h=394","https://mms.seloger.com/e/a/0/b/ea0bf0de-13db-4402-b329-e97b652141bd.jpg?ci_seal=1cb4577166ec373adf2188e10cb78a3b6dbf92e1&w=525&h=394","1 / 9","B","299 000 €","3 602 €/m²","Découvrez les options de financement","Appartement à vendre","3 pièces","·","2 chambres","83 m²","·","Étage 4/5","Toulon (83000)","Superbe T3 climatisé & entièrement rénové par un architecte en étage élevé avec vue sur la célèbre PlacePuget avec sa fontaine et ses platanes. Vous serez séduit par ses volumes, les matériaux de qua...","L P A IMMO","Exclusivité"
"","","","","","","","","","","","","","","","","","","","",""
"https://www.seloger.com/annonces/achat/appartement/toulon-83/257997999.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DPOCOFR5333%26page%3D6&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L","https://mms.seloger.com/3/d/2/8/3d28ad76-2b02-4c2a-be99-ac9e8af001de.jpg?ci_seal=98cf3fde82a8f517c0c315f1c540200ef7230778&h=50","https://mms.seloger.com/d/c/2/8/dc28c63e-5bdb-4889-ac49-ab2e121725cc.jpg?ci_seal=83324f3016e176c0a10cec3fecfe3b8e09e16535&w=525&h=394","https://mms.seloger.com/4/5/c/f/45cff2d9-86c3-4d0f-9d3f-1362ac9e2a7c.jpg?ci_seal=229f1b2eac304d3b8cac58bc632fa02733edee3d&w=525&h=394","https://mms.seloger.com/8/1/2/0/8120248c-2a8f-4a8e-a417-3f0867efb114.jpg?ci_seal=312d336a590926233ec1423ff37a75949e7d0b22&w=525&h=394","1 / 7","C","201 680 €","2 619 €/m²","Découvrez les options de financement","Appartement à vendre","2 pièces","·","1 chambre","77 m²","·","2ème étage","Toulon (83000)","Immobilier.notaires® et l'office notarial Frédéric LAYET vous proposent : Appartement à vendre - TOULON (83000) - - - - - - - - - - - A VENDRE/APPARTEMENT/TOULON : quartier Haute-Ville, face au musée...","Maitre Frédéric LAYET Notaire",""
"https://www.seloger.com/annonces/achat/appartement/toulon-83/super-toulon/258465895.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DPOCOFR5333%26page%3D6&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L","https://mms.seloger.com/0/a/2/7/0a27dbee-bd68-40ee-8aa3-49050f42972a.jpg?ci_seal=b9f693eefd51dfcc25318aeb9b7c7f800c851579&h=50","https://mms.seloger.com/7/8/3/0/78305bb5-c5a4-4fd7-bdd8-54e4297a99ca.jpg?ci_seal=b8fe664cc0c355c3edb9c9c1f8ec4e3ede0c6696&w=525&h=394","https://mms.seloger.com/6/4/6/5/64654641-5432-42b2-a511-cf66f9005dad.jpg?ci_seal=d07081e75f0666a6e3522ee02ee20cc7258d203f&w=525&h=394","https://mms.seloger.com/e/6/0/c/e60c8693-8849-4e58-b3b8-ed5a8e4a8f24.jpg?ci_seal=c39873993ac70e0136b4229dbb06d3734e80084f&w=525&h=394","1 / 4","D","159 000 €","2 120 €/m²","Découvrez les options de financement","Appartement à vendre","4 pièces","·","3 chambres","75 m²","·","Étage 1/5","Super-Toulon, Toulon (83000)","A VENDRE à TOULON - APPARTEMENT T4 OCCUPE A Toulon, nous vous proposons un appartement de type 4 vendu occupé, idéal pour un investissement locatif sécurisé, d'environ 75 m². Il est actuellement loué...","Shirley POZO - THE DOOR MAN","Exclusivité"
"https://www.seloger.com/annonces/achat/appartement/toulon-83/258810307.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DPOCOFR5333%26page%3D6&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L","https://mms.seloger.com/7/0/0/e/700ea1f7-27f0-4fce-9220-35066dbce590.jpg?ci_seal=724826e5717b7a67ec73e5fd31e7813164e7b8a6&h=50","https://mms.seloger.com/f/0/a/1/f0a10468-c327-42fa-a7bd-63c3367c6e16.jpg?ci_seal=de72124551ebc32d44623bbc189276533c8941c9&w=525&h=394","https://mms.seloger.com/5/1/e/2/51e2c724-f758-4a86-ae2f-2433cc748854.jpg?ci_seal=96d4c2607216363aa5d101844cfa1dd249be5187&w=525&h=394","https://mms.seloger.com/6/7/a/7/67a70fec-c195-42e7-815e-31d46db5c325.jpg?ci_seal=034b45d4d130945996d8ca85100c4ddc9f661e7e&w=525&h=394","1 / 5","C","145 000 €","2 636 €/m²","Découvrez les options de financement","Appartement à vendre","2 pièces","·","1 chambre","55 m²","·","RDC","Toulon (83200)","À vendre : Charmant appartement à Toulon Ouest ! Découvrez ce spacieux appartement de 55 m² situé dans le secteur Toulon ouest , idéalement placé avec un accès rapide à l'autoroute. **Caractéristique...","GRAZI IMMOBILIER","Exclusivité"
"https://www.seloger.com/annonces/achat/appartement/toulon-83/mourillon-sud/257658949.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DPOCOFR5333%26page%3D6&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L","https://mms.seloger.com/2/4/0/2/24022b10-30f9-4eea-899a-1661162056ac.jpg?ci_seal=b04f2223a56c435d1f5b96b6afc06df62c494429&h=50","https://mms.seloger.com/e/1/5/6/e1563284-2ec4-4df5-a79e-a2b94fc7ec2d.jpg?ci_seal=a8d665f6d0a122d79ee9fcadf3133256f6d4907c&w=525&h=394","https://mms.seloger.com/5/e/6/e/5e6e1671-a0be-4952-94c0-9fe6a287c7f5.jpg?ci_seal=624662a4a026688ad2b7df5d4caa24137e678d5b&w=525&h=394","https://mms.seloger.com/d/9/0/5/d9059611-e4c7-4627-b407-56391b3d4c2f.jpg?ci_seal=db030d57b91f505c63e2086fa7fd475a5acfa69e&w=525&h=394","1 / 11","D","265 000 €","3 955 €/m²","Découvrez les options de financement","Appartement à vendre","3 pièces","·","1 chambre","67 m²","·","Étage 4/5","Mourillon-Sud, Toulon (83000)","Certains appartements ont ce talent rare : celui de s'adapter à votre projet, aujourd'hui comme demain. Situé boulevard Cunéo, à quelques pas seulement du Port Saint-Louis, des plages de la Mitre, du...","MOURILLON IMMOBILIER","Exclusivité"
